Elements,Atomic number,Atomic weight,Period number,Group number,Family number,L quantum number,Mendeleev number,Atomic radius (Å),Covalent radius (Å),Zunger radius (Å),Ionic radius (Å),Crystal radius (Å),Pauling EN,Martynov-Batsanov EN,Gordy EN,Mulliken EN,Allen EN,Metallic valence,Number of valence electrons,Number of s electrons,Number of p electrons,Number of d electrons,Number of outer shell electrons,First ionization energy (kJ/mol),Polarizability,Melting point (K),Boiling point (K),Density (g/mL),Specific heat (J/g•K),Heat of fusion (kJ/mol),Heat of vaporization (kJ/mol),Thermal conductivity (W/m•K),Heat atomization (kJ/mol),Cohesive energy (eV),Distance from core electron (Schubert), Distance from valence electron (Schubert), Magnetic frequency of nuclei,Magnetic resonance,Thermal neutron capture cross section,Charge nuclear effective (Clementi),Enthalpy of meltingkJ*mol-1,Spin nuclei, Volume of atom (Villars. Daams)(10-2 nm3),Oxidation state first,Nuclear charge effective (Slater),Electrochemical weight equivalent,Atomic electron scattering factor at 0.5,Energy cohesive (Brewer)J*mol-1,Mendeleev Pettifor regular,Moment nuclear magnetic,Values of Radii metal (Waber)
H,1,1.00794,1,1,7,0,92,0.25,0.37,1.25,0.25,0.1,2.2,2.1,7.1784,7.18,2.3,0,1,1,0,0,1,1312,0.7,14.05,20.25,0.0000699,14.304,0.05868,0.44936,0.1815,218,0,1.86,1.86,100,42.576,0.332,1,0.117,0.5,1.902,1,1,0.01045,0.036,2.3,13,2.792,0.78
He,2,4.002602,1,18,9,0,98,0.31,0.32,0,0.31,0,0,0,12.0486,0,4.16,0,0,0,0,0,0,2372,0.198,0.949999999999989,4.25,0.000179,5.193,,0.0845,0.152,0,0,1.76,1.76,76.178,324.338,0.007,1.69,0.021,0.5,1.906,0,1.7,0.04147,0.058,0.01,1,-2.3127,0.8
Li,3,6.941,2,1,1,0,1,1.45,1.63,1.61,1.45,0.9,0.98,0.9,3.2223,3.01,0.912,1,1,1,0,0,1,520,24.3,453.65,1615.15,0.543,3.6,3,145.92,84.7,161,1.63,1.75,3.06,38.863,165.465,0.045,1.28,2.93,1.5,2.162,1,1.3,0.07192,0.08,1.63,12,3.256,1.562
Be,4,9.01218,2,2,2,0,67,1.05,0.9,1.08,1.05,0.41,1.57,1.45,3.7942,4.9,1.576,2,2,2,0,0,2,899,5.6,1551.15,3243.15,1.85,1.82,12.2,292.4,200,324,3.32,1.33,1.8,14.053,59.827,0.0092,1.91,15,1.5,0.811,2,1.95,0.04674,0.104,3.32,19,-1.177,1.128
B,5,10.811,2,13,6,1,72,0.85,0.82,0.795,0.85,0.25,2.04,1.9,4.5951,4.29,2.051,3,3,2,1,0,3,801,3,2352.15,2823.15,2.34,1.02,50.2,489.7,27,573,5.81,1.16,1.51,32.084,136.595,3837,2.42,23.6,1.5,0.789,3,2.6,0.03737,0.14,5.77,80,2.688,0.98
C,6,12.011,2,14,7,1,77,0.7,0.77,0.64,0.7,0.29,2.55,2.37,5.6246,6.27,2.544,4,4,2,2,0,4,1086,1.8,3640.15,5100.15,2.25,0.71,105,355.8,129,717,7.37,1,1.41,25.144,107.054,0.0035,3.14,70,0.5,0.882,4,3.25,0.03111,0.18,7.37,85,0.702,0.916
N,7,14.00674,2,15,7,1,82,0.65,0.75,0.54,0.65,0.3,3.04,2.85,6.8834,7.3,3.066,3,5,2,3,0,5,1402,1.1,63.25,77.35,0.00125,1.04,0.3604,2.7928,0.02598,473,4.92,1.03,1.33,10.133,4.315,1.91,3.83,0.72,1,1.289,3,3.9,0.02903,0.203,4.92,90,0.404,0.88
O,8,15.9994,2,16,7,1,87,0.6,0.73,0.465,0.6,1.21,3.44,3.32,8.3703,7.54,3.61,0,6,2,4,0,6,1314,0.793,54.75,90.15,0.00143,0.92,0.22259,3.4099,0.02674,249,2.62,0.85,1.2,13.557,57.719,0.0028,4.45,0.444,2.5,1.736,-2,4.55,0.82902,0.232,2.6,95,-1.893,0.89
F,9,18.998403,2,17,8,1,93,0.5,0.72,0.405,0.5,1.19,3.98,3.78,10.0854,10.41,4.193,0,7,2,5,0,7,1681,0.634,53.35,85.05,0.0017,0.82,0.2552,3.2698,0.0279,79,0.84,0.83,1.16,94.077,400.543,0.0096,5.1,0.51,0.5,1.855,-1,5.2,0.19689,0.252,0.84,100,2.627,0.75
Ne,10,20.1797,2,18,9,1,99,0.38,0.71,0,0.38,0,0,0,12.0317,0,4.789,0,0,0,0,0,0,2081,0.396,24.45,25.15,0.0009,0.904,0.3317,1.7326,0.0493,0,0.02,0.79,1.1,7.894,33.611,0.04,5.76,0.32,1.5,2.221,0,5.85,0.12601,0.262,0.02,2,-0.662,0.7
